Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap/MountainViews,Google Maps,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,Ca,Bin,O,Un,canonical_id,source_dataset,source_version,source_url,source_file_name,source_file_size_bytes,source_sha256,source_csv_sha256,source_downloaded_at_utc,source_licence,source_attribution,country_normalized,latitude_normalized,longitude_normalized,elevation_m_normalized,prominence_m_normalized,summit_verification_status,gpt_review_status,gpt_flags,claude_review_status,claude_flags,discrepancy_status,import_status,qa_status,qa_flags
14593,Pen y Bryn,,,30D,30D: Barmouth to Betws-y-Coed and Bala,,,WN05 Siabod-arenig,Gwynedd,3,125,255,309,1014,SJ013427,SJ 01307 42731,46,SJ007423,263,outcrop,,,,W,,15-Mar-15,,"https://www.streetmap.co.uk/map?X=301304&Y=342728&SV=301304,342728&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.972800,-3.471172",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14593,301304,342728,52.9728,-3.471172,SJ0130442728,30.4,2079,Foel Goch,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14593,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.9728,-3.471172,309,46,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14598,Garth,,,30E,30E: Bala to Welshpool,,,WN05 Siabod-arenig,Gwynedd,3,125,018E 255,309,1014,SH980392,SH 98086 39261,30,SH977388,279,outcrop at edge of wood,,,,W,,11-Nov-14,,"https://www.streetmap.co.uk/map?X=298083&Y=339258&SV=298083,339258&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.941015,-3.518027",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14598,298083,339258,52.941015,-3.518027,SH9808339258,30.5,2079,Foel Goch,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14598,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.941015,-3.518027,309,30,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14603,Ffridd Ddu,,,30E,30E: Bala to Welshpool,,,WN05 Siabod-arenig,Gwynedd,3,125,018E,304,997,SH970369,SH 97010 37001,40,SH973373,264,stony knoll,,,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=297007&Y=336997&SV=297007,336997&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.920500,-3.533315",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14603,297007,336997,52.9205,-3.533315,SH9700736997,30.5,2079,Foel Goch,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14603,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.9205,-3.533315,304,40,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14608,Pen Coedmawr,,,30B,30B: Snowdonia,The Carneddau,,WN04 Llewelyn-elen,Conwy,2,115,017E,298,978,SH784587,SH 78428 58726,59,SH 7785 5921,239,mossy lump in dense conifers,bilberry knoll 45m S at SH 78447 58681 is probably lower,,,W,,21-Jul-26,LIDAR data compromised by dense tree canopy. It suggests the summit 240m N at SH 78470 58965 is 3.6m lower,"https://www.streetmap.co.uk/map?X=278425&Y=358723&SV=278425,358723&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.111808,-3.817749",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14608,278425,358723,53.111808,-3.817749,SH7842558723,30.2,2013,Creigiau Gleision,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14608,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.111808,-3.817749,298,59,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14614,Bryn Gwyn,,,30B,30B: Snowdonia,Moel Hebog,,WN01 Hebog-anelog,Gwynedd,2,115,017W 254,291.3,956,SH556534,SH 55656 53438,34.5,SH556535,256.9,no feature: grass,ground 6m N is as high,Trimble GeoXH 6000,,W,,30-Oct-14,,"https://www.streetmap.co.uk/map?X=255653&Y=353435&SV=255653,353435&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.058629,-4.155345",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14614,255653,353435,53.058629,-4.155345,SH5565353435,30.2,2004,Trum y Ddysgl,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14614,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.058629,-4.155345,291.3,34.5,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14616,Craig Fawr,,,30E,30E: Bala to Welshpool,,,WN08 Berwyn-gyrn,Powys,2,125,239,291,955,SJ182264,SJ 18273 26475,39,SJ178265,252,no feature: pasture,,,,W,,05-Dec-12,,"https://www.streetmap.co.uk/map?X=318271&Y=326471&SV=318271,326471&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.829558,-3.214494",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14616,318271,326471,52.829558,-3.214494,SJ1827126471,30.5,2135,Mynydd-y-briw,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14616,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.829558,-3.214494,291,39,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14626,Pen-y-garth,,,30C,30C: Llandudno to Wrexham,,,WN06 Eithin-orme,Denbighshire [Sir Ddinbych],2,116,264S 265,282,925,SJ077593,SJ 07786 59331,46,SJ068592,236,no feature,ground by fence 25m N at SJ 07785 59353 and 160m NE at SJ 07903 59442 are both lower,Abney level/Seco 2x Hand Level,,W,,11-Nov-14,,"https://www.streetmap.co.uk/map?X=307784&Y=359328&SV=307784,359328&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.123134,-3.379475",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14626,307784,359328,53.123134,-3.379475,SJ0778459328,30.3,2042,Mwdwl-eithin,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14626,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.123134,-3.379475,282,46,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14627,Bryn Mawr,,,30F,30F: Dolgellau to Machynlleth,,,WN10 Aran-idris,Powys,2,124,215W,282,925,SH791055,SH 79119 05531,69,SH789058,213,no feature: pasture,,,,W,,25-Jan-24,,"https://www.streetmap.co.uk/map?X=279116&Y=305527&SV=279116,305527&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.634002,-3.787665",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14627,279116,305527,52.634002,-3.787665,SH7911605527,30.6,2155,Craig Goch [Mynydd Cwmcelli],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14627,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.634002,-3.787665,282,69,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14631,Mynydd y Gaer,,,30C,30C: Llandudno to Wrexham,,,WN06 Eithin-orme,Conwy,"2,sHu",116,264N,280.2,919,SH972717,SH 97295 71782,90.2,SH 9752 7109,190,outcrop,,,,W,,23-May-20,,"https://www.streetmap.co.uk/map?X=297293&Y=371779&SV=297293,371779&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.233097,-3.540193",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14631,297293,371779,53.233097,-3.540193,SH9729371779,30.3,2042,Mwdwl-eithin,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14631,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.233097,-3.540193,280.2,90.2,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14634,Cefn Mawr,,,30C,30C: Llandudno to Wrexham,,,WN07 Gamelin-famau,"Denbighshire [Sir Ddinbych], Flintshire [Sir Fflint]",2,117,265,279,915,SJ200630,SJ 20056 63083,52,SJ206632,227,no feature,summit in trees,,,W,,05-Dec-12,quarried,"https://www.streetmap.co.uk/map?X=320054&Y=363080&SV=320054,363080&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.158836,-3.197101",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14634,320054,363080,53.158836,-3.197101,SJ2005463080,30.3,2040,Cyrn-y-Brain,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14634,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.158836,-3.197101,279,52,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14639,Moelfryn,,,30B,30B: Snowdonia,Moel Hebog,,WN01 Hebog-anelog,Gwynedd,2,115,017W 254,277,909,SH568511,SH 56895 51166,31,SH564513,246,Rocky ground close to fallen tree,,,,W,,27-Jan-24,,"https://www.streetmap.co.uk/map?X=256892&Y=351163&SV=256892,351163&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.038552,-4.135861",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14639,256892,351163,53.038552,-4.135861,SH5689251163,30.2,2004,Trum y Ddysgl,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14639,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.038552,-4.135861,277,31,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14640,Foel Goch,,,30F,30F: Dolgellau to Machynlleth,,,WN10 Aran-idris,Gwynedd,2,135,023W,276,906,SH728028,SH 72892 02861,62,SH729032,214,no feature: just E of ride in spruce plantation,east summit is a knoll at SH 73139 02592,,,W,,21-Mar-15,alternative summit at SH 73139 02592,"https://www.streetmap.co.uk/map?X=272889&Y=302857&SV=272889,302857&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.608589,-3.878599",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14640,272889,302857,52.608589,-3.878599,SH7288902857,30.6,2148,Tarren y Gesail,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14640,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.608589,-3.878599,276,62,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14652,Cefn Du,,,30C,30C: Llandudno to Wrexham,,,WN07 Gamelin-famau,Denbighshire [Sir Ddinbych],2,116,264N 265,267.1,876,SJ096726,SJ 09629 72679,59,SJ 0915 7330,208.1,no feature,ground 130m NW at SJ 09547 72777 is of similar height,,,W,,11-Jul-23,,"https://www.streetmap.co.uk/map?X=309627&Y=372676&SV=309627,372676&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.243402,-3.35572",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14652,309627,372676,53.243402,-3.35572,SJ0962772676,30.3,2051,Mynydd y Cwm [Coed Cwm],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14652,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.243402,-3.35572,267.1,59,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14654,Pen y Garth,,,30C,30C: Llandudno to Wrexham,,,WN08 Berwyn-gyrn,Denbighshire [Sir Ddinbych],2,125,255 256,267,876,SJ164427,,84,SJ160424,183,,,,,W,,20-Jan-12,,"https://www.streetmap.co.uk/map?X=316400&Y=342700&SV=316400,342700&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.975122,-3.246433",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14654,316400,342700,52.975122,-3.246433,SJ1640042700,30.3,2087,Cadair Berwyn,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14654,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.975122,-3.246433,267,84,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14655,Y Foel,,,30C,30C: Llandudno to Wrexham,,,WN07 Gamelin-famau,Denbighshire [Sir Ddinbych],2,116,264N 265,265,869,SJ063782,SJ 06372 78207,78,SJ066778,187,no feature: grass,outcrop 15m WNW may be as high,,,W,,20-Jan-12,,"https://www.streetmap.co.uk/map?X=306370&Y=378204&SV=306370,378204&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=53.292513,-3.406141",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14655,306370,378204,53.292513,-3.406141,SJ0637078204,30.3,2051,Mynydd y Cwm [Coed Cwm],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14655,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,53.292513,-3.406141,265,78,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14656,Pen y Garth,,,30E,30E: Bala to Welshpool,,,WN10 Aran-idris,Powys,2,125,239,265,869,SJ122135,SJ 12202 13560,44,SJ124138,221,no feature,flat summit area,,,W,,11-Sep-14,,"https://www.streetmap.co.uk/map?X=312200&Y=313556&SV=312200,313556&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.71253,-3.301113",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14656,312200,313556,52.71253,-3.301113,SJ1220013556,30.5,2131,Rhialgwm,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14656,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.71253,-3.301113,265,44,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14657,Garn,,,30D,30D: Barmouth to Betws-y-Coed and Bala,,,WN09 Llethr-rhinog,Gwynedd,2,124,018W 023W,265,869,SH617164,SH 61769 16466,44,SH619165,221,rock outcrop,,obvious summit,,W,,15-Mar-15,,"https://www.streetmap.co.uk/map?X=261766&Y=316462&SV=261766,316462&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.728099,-4.048466",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14657,261766,316462,52.728099,-4.048466,SH6176616462,30.4,2056,Y Llethr,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14657,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.728099,-4.048466,265,44,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
14660,Y Foel,,,30B,30B: Snowdonia,Moel Hebog,,WN01 Hebog-anelog,Gwynedd,2,115,017W 254,261,856,SH522455,SH 52285 45554,32,SH519459,229,knoll on N side of fence,,,,W,,19-Oct-14,,"https://www.streetmap.co.uk/map?X=252282&Y=345551&SV=252282,345551&A=Y&Z=115","https://www.google.com/maps/search/?api=1&query=52.986888,-4.201995",https://www.hill-bagging.co.uk/hill-view/?qu=S&rf=14660,252282,345551,52.986888,-4.201995,SH5228245551,30.2,1999,Craig Cwm Silyn,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dobih:14660,DoBIH,18.5,https://www.hill-bagging.co.uk/dobih-downloads/hillcsv.zip,DoBIH_v18_5.csv,13396947,0c39e13ac59dd3fa172ac21dd56dd0f6fef19a14af47c7a5a444cce691e9f021,d27bc69dbb6d30a6f171ef277408831fe8763fc9043422f4e375e63f4cc190ea,2026-08-25T14:26:29+00:00,Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/),The Database of British and Irish Hills v18.5; https://www.hill-bagging.co.uk/dobih,Wales,52.986888,-4.201995,261,32,source_backed,pending,,pending,,pending,not_imported,warning,duplicate_name
